,순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
218,229,290650,엘앤씨바이오,"117,200","2,400",2.1,"76,177","8,877,201,800","114,700","117,600","113,700","854,661,779,200",0.05,"7,292,336",,,
219,230,067630,에이치엘비생명과학,"18,000",100,0.6,"541,736","9,768,935,350","17,900","18,400","17,800","847,268,154,000",0.05,"47,070,453",,,
220,231,073240,금호타이어,"2,945",-15,-0.5,"605,036","1,779,205,240","2,945","2,975","2,920","845,981,545,215",0.05,"287,260,287",,,
221,232,003690,코리안리,"7,010",-100,-1.4,"346,461","2,438,873,070","7,140","7,140","6,970","843,787,503,160",0.05,"120,369,116",,,
222,233,006650,대한유화,"129,500","5,000",4.0,"87,545","11,124,707,500","126,000","130,000","123,500","841,750,000,000",0.05,"6,500,000",,,
223,234,039200,오스코텍,"28,750",-50,-0.2,"407,601","11,614,971,700","29,000","29,100","28,050","839,508,941,250",0.05,"29,200,311",,,
224,235,307950,현대오토에버,"39,350",0,0.0,"29,675","1,167,165,500","39,950","39,950","39,050","826,350,000,000",0.05,"21,000,000",,,
225,236,284740,쿠쿠홈시스,"36,450",-300,-0.8,"25,975","955,635,450","36,500","37,300","36,450","817,840,678,500",0.04,"22,437,330",,,
226,237,170900,동아에스티,"96,700",0,0.0,"48,109","4,672,407,400","96,300","98,400","96,000","816,522,035,600",0.04,"8,443,868",,,
227,238,088800,에이스테크,"19,750",-100,-0.5,"2,184,642","41,717,903,800","20,000","20,050","19,200","808,919,078,000",0.04,"40,957,928",,,
228,239,001800,오리온홀딩스,"12,900",-100,-0.8,"93,814","1,211,848,300","12,900","13,000","12,850","808,125,943,800",0.04,"62,645,422",,,
229,240,268600,셀리버리,"98,900",-600,-0.6,"134,310","13,373,598,400","100,500","101,300","98,600","806,737,882,300",0.04,"8,157,107",,,
230,241,101490,에스앤에스텍,"40,800",200,0.5,"481,674","19,669,589,900","41,350","42,050","39,750","805,201,504,800",0.04,"19,735,331",,,
231,242,081000,일진다이아,"56,500",200,0.4,"314,173","17,874,724,000","58,000","58,200","56,000","802,468,087,500",0.04,"14,202,975",,,
232,243,115450,지트리비앤티,"31,000","2,700",9.5,"2,816,884","85,571,053,350","28,300","31,500","28,200","799,979,583,000",0.04,"25,805,793",,,
233,244,005300,롯데칠성,"100,000","-1,500",-1.5,"21,086","2,119,415,000","100,500","101,500","100,000","799,346,000,000",0.04,"7,993,460",,,
234,245,001440,대한전선,931,-45,-4.6,"10,228,360","9,524,250,969",977,984,913,"797,376,371,379",0.04,"856,473,009",,,
235,246,001060,JW중외제약,"37,600",-200,-0.5,"268,232","10,171,363,350","37,900","38,700","37,400","786,594,030,400",0.04,"20,920,054",,,
236,247,034310,NICE,"20,750",0,0.0,"36,435","755,686,000","20,750","21,050","20,600","786,057,725,000",0.04,"37,882,300",,,
237,248,020000,한섬,"31,900",-800,-2.4,"102,374","3,294,766,600","32,400","32,750","31,900","785,697,000,000",0.04,"24,630,000",,,
238,249,114090,GKL,"12,700",0,0.0,"371,854","4,714,107,300","12,750","12,800","12,600","785,567,009,000",0.04,"61,855,670",,,
239,250,086520,에코프로,"35,350",200,0.6,"486,857","17,294,476,750","35,800","36,000","35,150","780,888,251,850",0.04,"22,090,191",,,
240,251,005440,현대그린푸드,"7,970",-80,-1.0,"229,830","1,839,902,550","8,020","8,130","7,960","778,704,721,540",0.04,"97,704,482",,,
241,252,108320,실리콘웍스,"47,700","2,800",6.2,"391,009","18,564,514,800","46,400","48,150","46,000","775,807,110,000",0.04,"16,264,300",,,
242,253,018670,SK가스,"83,700","2,300",2.8,"48,159","4,011,159,800","82,000","85,000","82,000","772,571,422,800",0.04,"9,230,244",,,
243,254,003240,태광산업,"690,000","-9,000",-1.3,"1,351","935,164,000","699,000","701,000","688,000","768,246,000,000",0.04,"1,113,400",,,
244,255,003850,보령제약,"16,050",-100,-0.6,"624,377","10,170,373,800","16,400","16,600","16,000","764,301,000,000",0.04,"47,620,000",,,
245,256,033640,네패스,"33,000",450,1.4,"2,360,856","77,719,913,350","32,650","33,850","32,050","760,953,666,000",0.04,"23,059,202",,,
246,257,230360,에코마케팅,"46,450",-850,-1.8,"285,798","13,215,586,000","47,350","47,750","45,300","752,440,623,650",0.04,"16,198,937",,,
247,258,093370,후성,"8,090",40,0.5,"854,973","6,934,303,850","8,130","8,180","8,020","749,189,165,710",0.04,"92,606,819",,,
248,259,090460,비에이치,"22,650",350,1.6,"1,119,591","25,499,185,850","22,700","23,300","22,250","747,063,726,900",0.04,"32,982,946",,,
249,260,214370,케어젠,"69,300","1,600",2.4,"69,972","4,777,842,900","67,500","70,500","65,000","744,489,900,000",0.04,"10,743,000",,,
250,261,071840,롯데하이마트,"31,500",-50,-0.2,"100,494","3,174,175,800","31,650","32,100","31,300","743,642,928,000",0.04,"23,607,712",,,
251,262,053030,바이넥스,"23,300","2,900",14.2,"15,178,353","350,128,589,300","21,650","24,500","21,250","739,566,418,400",0.04,"31,741,048",,,
252,263,057050,현대홈쇼핑,"61,600",-600,-1.0,"28,530","1,771,133,900","62,000","63,100","61,600","739,200,000,000",0.04,"12,000,000",,,
253,264,067160,아프리카TV,"63,900",200,0.3,"83,166","5,306,527,000","63,600","64,400","63,300","734,515,611,300",0.04,"11,494,767",,,
254,265,079550,LIG넥스원,"33,350",-350,-1.0,"117,186","3,943,848,450","33,700","34,100","33,000","733,700,000,000",0.04,"22,000,000",,,
255,266,026890,디피씨,"17,600",850,5.1,"6,385,704","111,345,883,900","16,700","17,900","16,700","733,535,880,000",0.04,"41,678,175",,,
256,267,204270,제이앤티씨,"12,650",150,1.2,"412,995","5,215,891,750","12,650","12,750","12,550","731,783,094,900",0.04,"57,848,466",,,
257,268,192650,드림텍,"11,600",400,3.6,"6,506,890","77,470,086,750","11,300","12,350","11,200","720,070,092,800",0.04,"62,075,008",,,
258,269,006040,동원산업,"195,500","-1,000",-0.5,"4,577","897,472,000","197,000","197,500","194,000","718,978,815,500",0.04,"3,677,641",,,
259,270,271980,제일약품,"48,800",-100,-0.2,"507,940","25,120,363,700","50,100","51,000","48,100","717,597,753,600",0.04,"14,704,872",,,
260,271,122870,와이지엔터테인먼트,"38,950",250,0.6,"279,046","10,863,182,700","38,750","39,400","38,450","712,080,355,550",0.04,"18,281,909",,,
261,272,041510,에스엠,"30,200",-900,-2.9,"317,310","9,698,959,700","31,100","31,150","30,100","708,174,930,200",0.04,"23,449,501",,,
262,273,049770,동원F&B,"183,500","-4,500",-2.4,"7,351","1,361,373,000","187,000","189,500","183,500","708,149,254,000",0.04,"3,859,124",,,
263,274,028150,GS홈쇼핑,"107,700","1,400",1.3,"14,290","1,532,677,500","106,400","108,100","106,300","706,781,250,000",0.04,"6,562,500",,,
264,275,178320,서진시스템,"38,850",0,0.0,"417,576","16,073,568,550","39,150","39,150","38,100","703,210,874,100",0.04,"18,100,666",,,
265,276,092040,아미코젠,"36,450","2,000",5.8,"437,561","15,589,546,300","35,200","36,450","34,650","700,095,514,500",0.04,"19,207,010",,,
266,277,000150,두산,"42,350","-1,650",-3.8,"156,360","6,683,569,200","44,000","44,050","42,250","699,784,412,250",0.04,"16,523,835",,,
267,278,017810,풀무원,"18,350",-550,-2.9,"238,820","4,406,183,750","18,950","18,950","18,300","698,968,932,500",0.04,"38,090,950",,,
268,279,078130,국일제지,"5,530",100,1.8,"4,545,039","25,465,557,660","5,590","5,720","5,500","698,706,563,520",0.04,"126,348,384",,,
269,280,084370,유진테크,"30,450",-250,-0.8,"294,206","8,960,371,450","31,100","31,150","30,250","697,793,478,900",0.04,"22,916,042",,,
270,281,145020,휴젤,"161,400","-3,600",-2.2,"45,750","7,460,810,800","164,600","165,900","161,100","697,210,071,000",0.04,"4,319,765",,,
271,282,069260,휴켐스,"16,950",400,2.4,"174,598","2,938,646,250","16,550","17,000","16,400","692,892,066,600",0.04,"40,878,588",,,
272,283,145990,삼양사,"67,000","-1,100",-1.6,"74,520","4,887,243,900","66,200","67,000","65,000","691,001,083,000",0.04,"10,313,449",,,
273,284,108230,톱텍,"18,050",200,1.1,"593,019","10,730,012,300","18,000","18,400","17,750","686,319,572,250",0.04,"38,023,245",,,
274,285,280360,롯데제과,"105,500","-1,000",-0.9,"11,976","1,265,539,500","107,000","107,500","105,000","676,963,643,500",0.04,"6,416,717",,,
275,286,022100,포스코 ICT,"4,435",-5,-0.1,"389,228","1,725,872,955","4,460","4,475","4,410","674,274,023,115",0.04,"152,034,729",,,
276,287,353200,대덕전자,"13,600",900,7.1,"16,105,680","217,772,348,650","12,750","14,000","12,600","672,070,180,000",0.04,"49,416,925",,,
277,288,002320,한진,"55,500","-1,300",-2.3,"180,736","9,948,296,200","56,900","56,900","53,400","664,593,408,000",0.04,"11,974,656",,,
278,289,241590,화승엔터프라이즈,"10,950",200,1.9,"329,769","3,598,458,400","10,750","11,150","10,550","662,876,536,500",0.04,"60,536,670",,,
279,290,009450,경동나비엔,"51,800",400,0.8,"56,820","2,941,549,200","51,800","52,600","51,200","659,906,618,000",0.04,"12,739,510",,,
280,291,102710,이엔에프테크놀로지,"46,350","1,250",2.8,"355,376","16,441,744,950","45,800","47,400","44,750","659,460,198,600",0.04,"14,227,836",,,
281,292,103140,풍산,"23,500",-250,-1.0,"274,497","6,478,240,300","24,300","24,300","23,250","658,570,533,000",0.04,"28,024,278",,,
